Area,Population
State,4761865
Leinster,2634403
Carlow,56932
Dublin,1347359
"Dublin, Co Borough",554554
"Dublin, DL - Rathdown",278767
"Dublin, Fingal",296020
South Dublin,218018
Kildare,222504
Kilkenny,99232
Laoighis,84697
Longford,40873
Louth,128884
Meath,195044
Offaly,77961
Westmeath,88770
Wexford,149722
Wicklow,142425
Munster,1280020
Clare,118817
Cork,542868
"Cork, Co Borough",125657
"Cork, County",417211
Kerry,147707
Limerick,194899
"Limerick, Co Borough",58259
"Limerick, County",136640
Tipperary,159553
Tipperary NR,71282
Tipperary SR,88271
Waterford,116176
"Waterford, Co Borough",48216
"Waterford, County",67960
Connacht,550688
Galway,258058
"Galway, Co Borough",78668
"Galway, County",179390
Leitrim,32044
Mayo,130507
Roscommon,64544
Sligo,65535
Ulster (pt),296754
Cavan,76176
Donegal,159192
Monaghan,61386
