Area,Type,2013,2014,2015,2016,2017
State,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",70507,72942,77701,82568,88039
State,Income of Self Employed (Euro Million),8936,9742,10026,10640,11107
State,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),7269,7746,8473,9547,10126
State,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),3464,3983,3787,3030,4251
State,Primary Income (Euro Million),90175,94414,99987,105785,113523
State,Social Benefits and Other Current Transfers (Euro Million),27028,26446,25848,25751,26605
State,Total Household Income (Euro Million),117203,120859,125835,131536,140128
State,Total Income per Person (Euro),25398,26017,26857,27753,29239
State,Index of Total Income per Person (State=100),100,100,100,100,100
State,Current Taxes on Income (Euro Million),34130,36457,37517,38357,40857
State,Disposable Household Income (Euro Million),83073,84403,88318,93179,99271
State,Disposable Income per Person (Euro),18002,18169,18854,19660,20714
State,Index of Disposable Income per Person (State=100),100,100,100,100,100
State,Disposable Income per Person (excluding Rent) (Euro),16249,16226,16934,17126,18381
State,Index of Disposable Income per Person (excluding Rent) (State=100),100,100,100,100,100
Northern and Western,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",9841,10048,10517,11191,11768
Northern and Western,Income of Self Employed (Euro Million),1455,1650,1770,1879,2000
Northern and Western,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),1082,1155,1263,1267,1342
Northern and Western,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),494,566,533,423,588
Northern and Western,Primary Income (Euro Million),12872,13419,14084,14760,15698
Northern and Western,Social Benefits and Other Current Transfers (Euro Million),5093,4983,4843,4792,5015
Northern and Western,Total Household Income (Euro Million),17965,18401,18927,19551,20713
Northern and Western,Total Income per Person (Euro),21332,21705,22138,22603,23683
Northern and Western,Index of Total Income per Person (State=100),84,83.4,82.4,81.4,81
Northern and Western,Current Taxes on Income (Euro Million),4465,4834,4920,5027,5216
Northern and Western,Disposable Household Income (Euro Million),13501,13567,14007,14525,15497
Northern and Western,Disposable Income per Person (Euro),16031,16003,16387,16792,17718
Northern and Western,Index of Disposable Income per Person (State=100),89.1,88.1,86.9,85.4,85.5
Northern and Western,Disposable Income per Person (excluding Rent) (Euro),14608,14426,14825,14928,16017
Northern and Western,Index of Disposable Income per Person (excluding Rent) (State=100),89.9,88.9,87.5,87.2,87.1
Border,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",4224,4302,4599,4736,5035
Border,Income of Self Employed (Euro Million),662,756,826,876,936
Border,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),446,475,528,509,543
Border,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),213,244,234,181,253
Border,Primary Income (Euro Million),5546,5777,6187,6302,6768
Border,Social Benefits and Other Current Transfers (Euro Million),2453,2398,2322,2294,2410
Border,Total Household Income (Euro Million),7999,8175,8509,8596,9178
Border,Total Income per Person (Euro),20289,20599,21261,21228,22416
Border,Index of Total Income per Person (State=100),79.9,79.2,79.2,76.5,76.7
Border,Current Taxes on Income (Euro Million),1865,2036,2115,2098,2197
Border,Disposable Household Income (Euro Million),6134,6140,6394,6498,6981
Border,Disposable Income per Person (Euro),15558,15470,15981,16047,17051
Border,Index of Disposable Income per Person (State=100),86.4,85.1,84.8,81.6,82.3
Border,Disposable Income per Person (excluding Rent) (Euro),14297,14075,14582,14424,15569
Border,Index of Disposable Income per Person (excluding Rent) (State=100),88,86.7,86.1,84.2,84.7
Leitrim,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",380,379,397,400,433
Leitrim,Income of Self Employed (Euro Million),66,76,81,86,88
Leitrim,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),36,38,43,42,45
Leitrim,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),19,22,20,16,22
Leitrim,Primary Income (Euro Million),501,515,541,544,588
Leitrim,Social Benefits and Other Current Transfers (Euro Million),208,203,198,197,205
Leitrim,Total Household Income (Euro Million),709,717,738,741,793
Leitrim,Total Income per Person (Euro),22183,22282,22740,22559,23882
Leitrim,Index of Total Income per Person (State=100),87.3,85.6,84.7,81.3,81.7
