Cases,Area,Year,Sex
487,State,2013,Both sexes
391,State,2013,Male
96,State,2013,Female
486,State,2014,Both sexes
399,State,2014,Male
87,State,2014,Female
425,State,2015,Both sexes
335,State,2015,Male
90,State,2015,Female
437,State,2016,Both sexes
350,State,2016,Male
87,State,2016,Female
383,State,2017,Both sexes
310,State,2017,Male
73,State,2017,Female
437,State,2018,Both sexes
327,State,2018,Male
110,State,2018,Female
421,State,2019,Both sexes
317,State,2019,Male
104,State,2019,Female
227,Leinster,2013,Both sexes
180,Leinster,2013,Male
47,Leinster,2013,Female
218,Leinster,2014,Both sexes
180,Leinster,2014,Male
38,Leinster,2014,Female
183,Leinster,2015,Both sexes
143,Leinster,2015,Male
40,Leinster,2015,Female
182,Leinster,2016,Both sexes
144,Leinster,2016,Male
38,Leinster,2016,Female
160,Leinster,2017,Both sexes
127,Leinster,2017,Male
33,Leinster,2017,Female
176,Leinster,2018,Both sexes
126,Leinster,2018,Male
50,Leinster,2018,Female
168,Leinster,2019,Both sexes
123,Leinster,2019,Male
45,Leinster,2019,Female
13,Carlow,2013,Both sexes
8,Carlow,2013,Male
5,Carlow,2013,Female
9,Carlow,2014,Both sexes
5,Carlow,2014,Male
4,Carlow,2014,Female
6,Carlow,2015,Both sexes
4,Carlow,2015,Male
2,Carlow,2015,Female
9,Carlow,2016,Both sexes
8,Carlow,2016,Male
1,Carlow,2016,Female
8,Carlow,2017,Both sexes
5,Carlow,2017,Male
3,Carlow,2017,Female
5,Carlow,2018,Both sexes
3,Carlow,2018,Male
2,Carlow,2018,Female
3,Carlow,2019,Both sexes
0,Carlow,2019,Male
3,Carlow,2019,Female
45,Dublin City,2013,Both sexes
35,Dublin City,2013,Male
10,Dublin City,2013,Female
40,Dublin City,2014,Both sexes
32,Dublin City,2014,Male
8,Dublin City,2014,Female
29,Dublin City,2015,Both sexes
21,Dublin City,2015,Male
8,Dublin City,2015,Female
22,Dublin City,2016,Both sexes
12,Dublin City,2016,Male
10,Dublin City,2016,Female
24,Dublin City,2017,Both sexes
16,Dublin City,2017,Male
8,Dublin City,2017,Female
15,Dublin City,2018,Both sexes
12,Dublin City,2018,Male
3,Dublin City,2018,Female
17,Dublin City,2019,Both sexes
14,Dublin City,2019,Male
3,Dublin City,2019,Female
23,South Dublin,2013,Both sexes
16,South Dublin,2013,Male
7,South Dublin,2013,Female
22,South Dublin,2014,Both sexes
16,South Dublin,2014,Male
6,South Dublin,2014,Female
10,South Dublin,2015,Both sexes
8,South Dublin,2015,Male
2,South Dublin,2015,Female
12,South Dublin,2016,Both sexes
8,South Dublin,2016,Male
4,South Dublin,2016,Female
8,South Dublin,2017,Both sexes
4,South Dublin,2017,Male
4,South Dublin,2017,Female
12,South Dublin,2018,Both sexes
4,South Dublin,2018,Male
8,South Dublin,2018,Female
11,South Dublin,2019,Both sexes
3,South Dublin,2019,Male
8,South Dublin,2019,Female
16,Fingal,2013,Both sexes
12,Fingal,2013,Male
4,Fingal,2013,Female
11,Fingal,2014,Both sexes
9,Fingal,2014,Male
2,Fingal,2014,Female
11,Fingal,2015,Both sexes
11,Fingal,2015,Male
0,Fingal,2015,Female
11,Fingal,2016,Both sexes
8,Fingal,2016,Male
3,Fingal,2016,Female
7,Fingal,2017,Both sexes
6,Fingal,2017,Male
1,Fingal,2017,Female
14,Fingal,2018,Both sexes
10,Fingal,2018,Male
4,Fingal,2018,Female
12,Fingal,2019,Both sexes
9,Fingal,2019,Male
3,Fingal,2019,Female
17,Dun Laoghaire-Rathdown,2013,Both sexes
12,Dun Laoghaire-Rathdown,2013,Male
5,Dun Laoghaire-Rathdown,2013,Female
7,Dun Laoghaire-Rathdown,2014,Both sexes
7,Dun Laoghaire-Rathdown,2014,Male
0,Dun Laoghaire-Rathdown,2014,Female
1,Dun Laoghaire-Rathdown,2015,Both sexes
1,Dun Laoghaire-Rathdown,2015,Male
0,Dun Laoghaire-Rathdown,2015,Female
8,Dun Laoghaire-Rathdown,2016,Both sexes
5,Dun Laoghaire-Rathdown,2016,Male
3,Dun Laoghaire-Rathdown,2016,Female
5,Dun Laoghaire-Rathdown,2017,Both sexes
5,Dun Laoghaire-Rathdown,2017,Male
0,Dun Laoghaire-Rathdown,2017,Female
6,Dun Laoghaire-Rathdown,2018,Both sexes
6,Dun Laoghaire-Rathdown,2018,Male
0,Dun Laoghaire-Rathdown,2018,Female
7,Dun Laoghaire-Rathdown,2019,Both sexes
7,Dun Laoghaire-Rathdown,2019,Male
0,Dun Laoghaire-Rathdown,2019,Female
24,Kildare,2013,Both sexes
22,Kildare,2013,Male
2,Kildare,2013,Female
28,Kildare,2014,Both sexes
26,Kildare,2014,Male
2,Kildare,2014,Female
20,Kildare,2015,Both sexes
16,Kildare,2015,Male
4,Kildare,2015,Female
23,Kildare,2016,Both sexes
19,Kildare,2016,Male
4,Kildare,2016,Female
17,Kildare,2017,Both sexes
13,Kildare,2017,Male
4,Kildare,2017,Female
21,Kildare,2018,Both sexes
16,Kildare,2018,Male
5,Kildare,2018,Female
21,Kildare,2019,Both sexes
17,Kildare,2019,Male
4,Kildare,2019,Female
8,Kilkenny,2013,Both sexes
7,Kilkenny,2013,Male
1,Kilkenny,2013,Female
12,Kilkenny,2014,Both sexes
8,Kilkenny,2014,Male
4,Kilkenny,2014,Female
13,Kilkenny,2015,Both sexes
8,Kilkenny,2015,Male
5,Kilkenny,2015,Female
11,Kilkenny,2016,Both sexes
10,Kilkenny,2016,Male
1,Kilkenny,2016,Female
9,Kilkenny,2017,Both sexes
8,Kilkenny,2017,Male
1,Kilkenny,2017,Female
10,Kilkenny,2018,Both sexes
8,Kilkenny,2018,Male
2,Kilkenny,2018,Female
10,Kilkenny,2019,Both sexes
8,Kilkenny,2019,Male
2,Kilkenny,2019,Female
7,Laois,2013,Both sexes
5,Laois,2013,Male
2,Laois,2013,Female
3,Laois,2014,Both sexes
2,Laois,2014,Male
1,Laois,2014,Female
9,Laois,2015,Both sexes
7,Laois,2015,Male
2,Laois,2015,Female
10,Laois,2016,Both sexes
9,Laois,2016,Male
1,Laois,2016,Female
9,Laois,2017,Both sexes
7,Laois,2017,Male
2,Laois,2017,Female
6,Laois,2018,Both sexes
5,Laois,2018,Male
1,Laois,2018,Female
6,Laois,2019,Both sexes
5,Laois,2019,Male
1,Laois,2019,Female
6,Longford,2013,Both sexes
5,Longford,2013,Male
1,Longford,2013,Female
4,Longford,2014,Both sexes
4,Longford,2014,Male
0,Longford,2014,Female
4,Longford,2015,Both sexes
4,Longford,2015,Male
0,Longford,2015,Female
4,Longford,2016,Both sexes
3,Longford,2016,Male
1,Longford,2016,Female
2,Longford,2017,Both sexes
1,Longford,2017,Male
1,Longford,2017,Female
2,Longford,2018,Both sexes
2,Longford,2018,Male
0,Longford,2018,Female
2,Longford,2019,Both sexes
2,Longford,2019,Male
0,Longford,2019,Female
12,Louth,2013,Both sexes
10,Louth,2013,Male
2,Louth,2013,Female
11,Louth,2014,Both sexes
8,Louth,2014,Male
3,Louth,2014,Female
10,Louth,2015,Both sexes
8,Louth,2015,Male
2,Louth,2015,Female
10,Louth,2016,Both sexes
9,Louth,2016,Male
1,Louth,2016,Female
11,Louth,2017,Both sexes
10,Louth,2017,Male
1,Louth,2017,Female
10,Louth,2018,Both sexes
8,Louth,2018,Male
2,Louth,2018,Female
11,Louth,2019,Both sexes
9,Louth,2019,Male
2,Louth,2019,Female
17,Meath,2013,Both sexes
13,Meath,2013,Male
4,Meath,2013,Female
17,Meath,2014,Both sexes
15,Meath,2014,Male
2,Meath,2014,Female
22,Meath,2015,Both sexes
15,Meath,2015,Male
7,Meath,2015,Female
13,Meath,2016,Both sexes
12,Meath,2016,Male
1,Meath,2016,Female
17,Meath,2017,Both sexes
15,Meath,2017,Male
2,Meath,2017,Female
21,Meath,2018,Both sexes
14,Meath,2018,Male
7,Meath,2018,Female
21,Meath,2019,Both sexes
14,Meath,2019,Male
7,Meath,2019,Female
7,Offaly,2013,Both sexes
7,Offaly,2013,Male
0,Offaly,2013,Female
8,Offaly,2014,Both sexes
8,Offaly,2014,Male
0,Offaly,2014,Female
8,Offaly,2015,Both sexes
8,Offaly,2015,Male
0,Offaly,2015,Female
11,Offaly,2016,Both sexes
10,Offaly,2016,Male
